code,title,program,reason
04.01.11.02,שעות נוספות,שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,Not related to green energy.
04.01.11.06,מיכון,שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.07,עלויות פרישה,שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,Not related to green energy.
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,Not related to green energy.
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,Not related to green energy.
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,Not related to green energy.
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,Not related to green energy.
04.01.11.13,קתדרה ללימודי יהדות,שירותים מרכזיים,Not related to green energy.
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,Not related to green energy.
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,שירותים מרכזיים,Not related to green energy.
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,Not related to green energy.
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,Not related to green energy.
04.01.11.20,"פרוייקטים - משרד רוה""מ",שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.22,השתתפות במשרד החינוך,שירותים מרכזיים,Not related to green energy.
04.01.11.23,השתתפות במשרד הביטחון,שירותים מרכזיים,Not related to green energy.
04.01.11.24,השתתפות בדיור הממשלתי - פרויקט אלמוג,שירותים מרכזיים,Not related to green energy.
04.01.11.25,פרויקט אלמוג,שירותים מרכזיים,Not related to green energy.
04.01.11.26,השתתפות במשרד החינוך - פרויקט יד בן צבי,שירותים מרכזיים,Not related to green energy.
04.01.11.27,השתתפות במשרד הביטחון,שירותים מרכזיים,Not related to green energy.
04.01.11.28,חגיגות 60 שנה למדינה ו-40 שנה לירושלים,שירותים מרכזיים,Not related to green energy.
04.01.11.29,"השתתפות במשרד המדע, התרבות והספורט - בית התפוצות",שירותים מרכזיים,Not related to green energy.
04.01.11.30,העסקת סטודנטים,שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.31,שכר עידוד,שירותים מרכזיים,"General administrative item, not related to green energy."
04.01.11.32,רזרבה לעמידה ביעד ההוצאה - חגיגות 60 למדינה,שירותים מרכזיים,Not related to green energy.
04.01.11.33,השתתפות בביתן יהודי באושוויץ,שירותים מרכזיים,Not related to green energy.
04.01.11.35,הרשאה - חגיגות 60 שנה למדינה,שירותים מרכזיים,Not related to green energy.
04.01.11.36,השתתפות בלשכת הפרסום הממשלתית במסגרת חגיגות ה-60,שירותים מרכזיים,Not related to green energy.
04.01.11.37,השתתפות במשרד הביטחון במסגרת חגיגות ה-60,שירותים מרכזיים,Not related to green energy.
04.01.11.38,השתתפות במשרד החינוך במסגרת חגיגות ה-60 למדינה,שירותים מרכזיים,Not related to green energy.
04.01.11.39,השתתפות במשרד התיירות- חגיגות ה- 60,שירותים מרכזיים,Not related to green energy.
04.01.11.40,השתתפות במשרד התחבורה- חגיגות ה- 60,שירותים מרכזיים,Not related to green energy.
04.01.11.41,"השתתפות במשרד המדע, התרבות והספורט- חגיגות ה- 60",שירותים מרכזיים,Not related to green energy.
04.01.11.42,"""שירותי כבאות אווירית""",שירותים מרכזיים,Not related to green energy.
