code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title; could contain relevant spending.
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title; could contain relevant spending.
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific committee, unrelated to green energy."
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Civil service administration, unrelated to green energy."
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"Negotiations management, unrelated to green energy."
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"National information campaign, unrelated to green energy."
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,drop,"Heritage infrastructure, unrelated to green energy."
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific committee, unrelated to green energy."
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title; could contain relevant spending.
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,"Religious conversion system, unrelated to green energy."
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic inter-ministerial committee; could discuss energy.
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"National cyber headquarters, unrelated to green energy."
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"State archive, unrelated to green energy."
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Commemoration of leaders, unrelated to green energy."
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Archive administration, unrelated to green energy."
04.01.43,מינהלת מפוני סיני,משרד ראש הממשלה,תחום פעולה כללי,drop,"Sinai evacuees administration, unrelated to green energy."
04.01.61,מחקרים שונים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic research program; could include relevant studies.
04.01.62,השתתפות האפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Public guardian participation, unrelated to green energy."
04.01.63,מפעלים חינוכיים,משרד ראש הממשלה,תחום פעולה כללי,drop,"Educational projects, unrelated to green energy."
04.01.64,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"Public guardian participation, unrelated to green energy."
04.01.70,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"Public guardian participation, unrelated to green energy."
04.01.71,מרכז בגין,משרד ראש הממשלה,תחום פעולה כללי,drop,"Begin Center, unrelated to green energy."
04.01.72,מרכז רבין,משרד ראש הממשלה,תחום פעולה כללי,drop,"Rabin Center, unrelated to green energy."
04.01.73,מרכז הסברה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Information center, unrelated to green energy."
04.01.74,יד לוי אשכול,משרד ראש הממשלה,תחום פעולה כללי,drop,"Levi Eshkol memorial, unrelated to green energy."
04.01.75,היכל הגבורה ים-עכו,משרד ראש הממשלה,תחום פעולה כללי,drop,"Memorial site, unrelated to green energy."
04.01.76,חלקת גדולי האומה,משרד ראש הממשלה,תחום פעולה כללי,drop,"National cemetery, unrelated to green energy."
04.01.77,אתר הנצחה גולני,משרד ראש הממשלה,תחום פעולה כללי,drop,"Golani memorial site, unrelated to green energy."
04.01.78,הרשות למלחמה בסמים,משרד ראש הממשלה,תחום פעולה כללי,drop,"Anti-drug authority, unrelated to green energy."
04.01.79,"תכנית בש""ן",משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to green energy."
04.01.80,מורשת משה שרת,משרד  ראש הממשלה,תחום פעולה כללי,drop,"Moshe Sharett heritage, unrelated to green energy."
04.01.81,אפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Public guardian, unrelated to green energy."
04.01.82,מרכז תרבות עמים לנוער,משרד ראש הממשלה,תחום פעולה כללי,drop,"Youth culture center, unrelated to green energy."
04.01.83,מכון העם והמדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Institute for people and state, unrelated to green energy."
04.01.84,מוזיאון בית השומר,משרד ראש הממשלה,תחום פעולה כללי,drop,"Museum, unrelated to green energy."
04.01.85,נתיב - הוראת עברית,משרד ראש הממשלה,תחום פעולה כללי,drop,"Hebrew instruction, unrelated to green energy."
04.01.86,שמש לאחוה ודו-קיום,משרד ראש הממשלה,תחום פעולה כללי,drop,"Coexistence initiative, unrelated to green energy."
04.01.87,מעקב אחר אנטישמיות,משרד ראש הממשלה,תחום פעולה כללי,drop,"Antisemitism monitoring, unrelated to green energy."
04.01.88,מרכז שזר,משרד ראש הממשלה,תחום פעולה כללי,drop,"Shazar Center, unrelated to green energy."
04.01.89,בית מדרש ללימודי יהדות,משרד ראש הממשלה,תחום פעולה כללי,drop,"Jewish studies, unrelated to green energy."
04.01.90,פעולות בעקבות המצב,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic activities due to situation; could be anything.
04.01.91,יד יצחק בן צבי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Ben-Zvi memorial, unrelated to green energy."
04.01.92,משרד ראש הממשלה -,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"Incomplete, generic title; could contain relevant spending."
04.01.93,יד טבנקין,משרד ראש הממשלה,תחום פעולה כללי,drop,"Tabenkin memorial, unrelated to green energy."
04.01.94,קרן מנחם בדר,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific fund, unrelated to green energy."
