code,title,economic_class,reason
04.01.11.01,שיא כח אדם,שכר,Personnel cap (שיא כח אדם).
04.01.11.15,השתתפות גורמי חוץ,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות).
04.01.11.55,מכירת שירותים למשרדי הממשלה,העברות  פנים תקציביות,Transfer account (העברות פנים תקציביות).
04.01.11.56,רכישת שירותים ממשרדי הממשלה,העברות  פנים תקציביות,Transfer account (העברות פנים תקציביות).
04.01.11.57,רזרבה להשתתפות בסעיף 54,קניות,Reserve (רזרבה).
04.01.11.95,רזרבה להתייקרויות כללית,רזרבות,Reserve (רזרבה).
04.01.12.07,רזרבה לתחזוקת הכותל,קניות,Reserve (רזרבה).
04.01.12.09,רזרבה לעמידה ביעד ההוצאה,קניות,Reserve (רזרבה).
04.01.12.17,השתתפות מנהל מקרקעי ישראל - פיתוח מנהרות הכותל,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות).
04.01.12.27,רזרבה לפרויקטים,קניות,Reserve (רזרבה).
04.01.12.29,השתתפות מינהל מקרקעי ישראל - פיתוח שער המוגרבים,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות).
04.01.12.31,רזרבה להשתתפויות,קניות,Reserve (רזרבה).
04.01.12.32,השתתפות משרד ראש הממשלה,העברות  פנים תקציביות,Transfer account (העברות פנים תקציביות).
04.01.12.60,רזרבה להתשתתפויות,קניות,Reserve (רזרבה).
04.01.12.62,רזרבה לפעולות המשרד,קניות,Reserve (רזרבה).
04.01.12.95,רזרבה להתייקוריות כללית,רזרבות,Reserve (רזרבה).
04.01.19.01,שיא כח אדם,שכר,Personnel cap (שיא כח אדם).
04.01.19.11,הכנסות ממכירת מכרזים,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות).
04.01.19.12,הכנסות ממכירת מכרזים,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות).
04.01.19.19,הכנסה מההסתדרות הציונית,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות).
04.01.19.35,שיא כח אדם,שכר,Personnel cap (שיא כח אדם).
04.01.19.39,עובדים לא משובצים - שיא כח אדם,שכר,Personnel cap (שיא כח אדם).
04.01.19.55,הכנסות מתפעול,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות).
04.01.19.64,אחזקת רכב ממשלתי,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.68,השתתפות רשות החברות באחזקה,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.70,השתתפות במשרד ראש הממשלה,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.71,השתתפות מנהלת שרותי דת,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.75,"השתתפות משרד התמ""ת",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.76,"השתתפות במשרד התמ""ת",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.77,פרוייקט חירום השתתפות במשרד הביטחון,העברות  פנים תקציביות,"Internal budgetary transfers, not directly subject"
04.01.19.78,"שכר דירה - מל""ל",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.90,השתתפות משרדים באחזקה,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.91,"השתתפות הנש""מ בדיור",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.92,"השתתפות נש""מ באחזקה",העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.19.95,הכנסות ממכונים,הכנסות מיועדות,"Earmarked revenue, related economic class"
04.01.19.98,רזרבה להוצאות כח אדם,שכר,"Reserve, related economic class"
04.01.19.99,רזרבה משרדית,קניות,"Reserve, related economic class"
04.01.21.02,שיא כוח אדם,שכר,"Personnel cap, related economic class"
04.01.21.06,רזרבה ליישום החלטת הממשלה 2699 מיום 9.1.2011,קניות,"Reserve, related economic class"
04.01.21.10,השתתפות במשרדי הממשלה,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.61.01,שכר עובדים,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.61.06,השתתפות משרדי ממשלה בשכר,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.61.07,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, related economic class"
04.01.61.08,השתתפות משרדי הממשלה בקניות,העברות  פנים תקציביות,"Internal budgetary transfers, related economic class"
04.01.90.02,השתתפות במשרד החינוך,העברות  פנים תקציביות,"Internal budgetary transfers, not directly subject"
