code,title,program,reason
04.01.11.02,שעות נוספות,שירותים מרכזיים,"General salary expenses, not related to green energy."
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,"General salary expenses, not related to green energy."
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,"General management operations, not related to green energy."
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,"Participation in Merkava project, unrelated to green energy."
04.01.11.06,מיכון,שירותים מרכזיים,"General equipment purchase, not related to green energy."
04.01.11.07,עלויות פרישה,שירותים מרכזיים,"General retirement costs, not related to green energy."
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,"Participation in unrelated project, not green energy."
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,"Government accounting reform, unrelated to green energy."
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,"Dealing with Druze community issues, unrelated to green energy."
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,"Scholarships for Druze, unrelated to green energy."
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,"PM's business conference, unrelated to green energy."
04.01.11.13,קתדרה ללימודי יהדות,שירותים מרכזיים,"Chair for Jewish studies, unrelated to green energy."
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,"Participation in Ministry of Industry, Trade, Labor, unrelated."
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,"General operations, maintenance, infrastructure, unrelated."
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,שירותים מרכזיים,"Heritage infrastructure, unrelated to green energy."
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,"Participation in PM's building, unrelated to green energy."
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,"Participation in e-government project, unrelated to green energy."
04.01.11.20,"פרוייקטים - משרד רוה""מ",שירותים מרכזיים,"General PMO projects, too vague for green energy."
04.01.11.22,השתתפות במשרד החינוך,שירותים מרכזיים,"Participation in Ministry of Education, unrelated to green energy."
04.01.11.23,השתתפות במשרד הביטחון,שירותים מרכזיים,"Participation in Ministry of Defense, unrelated to green energy."
04.01.11.24,השתתפות בדיור הממשלתי - פרויקט אלמוג,שירותים מרכזיים,"Government housing project, unrelated to green energy."
04.01.11.25,פרויקט אלמוג,שירותים מרכזיים,"Almog project, unrelated to green energy."
04.01.11.26,השתתפות במשרד החינוך - פרויקט יד בן צבי,שירותים מרכזיים,"Participation in Ministry of Education project, unrelated."
04.01.11.27,השתתפות במשרד הביטחון,שירותים מרכזיים,"Participation in Ministry of Defense, unrelated to green energy."
04.01.11.28,חגיגות 60 שנה למדינה ו-40 שנה לירושלים,שירותים מרכזיים,"Anniversary celebrations, unrelated to green energy."
04.01.11.29,"השתתפות במשרד המדע, התרבות והספורט - בית התפוצות",שירותים מרכזיים,"Participation in cultural project, unrelated to green energy."
04.01.11.30,העסקת סטודנטים,שירותים מרכזיים,"General student employment, not related to green energy."
04.01.11.31,שכר עידוד,שירותים מרכזיים,"General incentive pay, not related to green energy."
04.01.11.32,רזרבה לעמידה ביעד ההוצאה - חגיגות 60 למדינה,שירותים מרכזיים,"Reserve for anniversary celebrations, unrelated to green energy."
04.01.11.33,השתתפות בביתן יהודי באושוויץ,שירותים מרכזיים,"Participation in Auschwitz pavilion, unrelated to green energy."
04.01.11.35,הרשאה - חגיגות 60 שנה למדינה,שירותים מרכזיים,"Anniversary celebrations, unrelated to green energy."
04.01.11.36,השתתפות בלשכת הפרסום הממשלתית במסגרת חגיגות ה-60,שירותים מרכזיים,"Participation in government advertising, unrelated to green energy."
04.01.11.37,השתתפות במשרד הביטחון במסגרת חגיגות ה-60,שירותים מרכזיים,"Participation in Ministry of Defense for anniversary, unrelated."
04.01.11.38,השתתפות במשרד החינוך במסגרת חגיגות ה-60 למדינה,שירותים מרכזיים,"Participation in Ministry of Education for anniversary, unrelated."
04.01.11.39,השתתפות במשרד התיירות- חגיגות ה- 60,שירותים מרכזיים,"Participation in Ministry of Tourism for anniversary, unrelated."
04.01.11.40,השתתפות במשרד התחבורה- חגיגות ה- 60,שירותים מרכזיים,"Participation in Ministry of Transportation for anniversary, unrelated."
04.01.11.41,"השתתפות במשרד המדע, התרבות והספורט- חגיגות ה- 60",שירותים מרכזיים,"Participation in Ministry of Science, Culture, Sport for anniversary, unrelated."
04.01.11.42,"""שירותי כבאות אווירית""",שירותים מרכזיים,"Aerial firefighting services, unrelated to green energy."
04.01.11.43,השתתפות משרד הקליטה,שירותים מרכזיים,"Participation in Ministry of Aliyah and Integration, unrelated."
04.01.11.44,השתתפות ברשות הטבע והגנים,שירותים מרכזיים,"Participation in Nature and Parks Authority, not green energy specific."
04.01.11.45,השתתפות במשרד לביטחון פנים,שירותים מרכזיים,"Participation in Ministry of Internal Security, unrelated."
04.01.11.46,השתתפות המשרד לענייני גימלאים,שירותים מרכזיים,"Participation in Ministry for Senior Citizens Affairs, unrelated."
04.01.11.47,תכנון מדיניות עבודת הממשלה,שירותים מרכזיים,"Government policy planning, too general for green energy."
04.01.11.48,השתתפות במשרד הפנים - תכניות עבודה,שירותים מרכזיים,"Participation in Ministry of Interior work plans, unrelated."
04.01.11.49,השתתפות ברשות האוכלוסין,שירותים מרכזיים,"Participation in Population Authority, unrelated to green energy."
04.01.11.50,השתתפות ברשות הטבע והגנים,שירותים מרכזיים,"Participation in Nature and Parks Authority, not green energy specific."
04.01.11.52,השתתפות בסעיף 54 - החלטת ממשלה 3367 - עידוד תרבות הפנאי והנופש,שירותים מרכזיים,"Leisure and recreation culture, unrelated to green energy."
04.01.11.53,השתתפות במשרד התיירות - החלטת ממשלה 3368,שירותים מרכזיים,"Participation in Ministry of Tourism, unrelated to green energy."
04.01.11.54,השתתפות במשרד הבינוי והשיכון - החלטת ממשלה 3855,שירותים מרכזיים,"Participation in Ministry of Construction and Housing, unrelated."
04.01.11.55,מכירת שירותים למשרדי הממשלה,שירותים מרכזיים,"Selling services to government ministries, general, unrelated."
04.01.11.56,רכישת שירותים ממשרדי הממשלה,שירותים מרכזיים,"Purchasing services from government ministries, general, unrelated."
04.01.11.57,רזרבה להשתתפות בסעיף 54,שירותים מרכזיים,Reserve for unrelated leisure/recreation activity.
04.01.11.58,השתתפות במשרד הביטחון,שירותים מרכזיים,"Participation in Ministry of Defense, unrelated to green energy."
04.01.11.59,חינוך בלתי פורמלי,שירותים מרכזיים,"Informal education, unrelated to green energy."
04.01.11.60,"פרוייקט תמ""ר-מע' ממוחשבת לניהול תכניות עבודה",שירותים מרכזיים,"Computerized work plan management system, unrelated."
04.01.11.61,פעילות המטה הביומטרי,שירותים מרכזיים,"Biometric headquarters activity, unrelated to green energy."
04.01.12.01,תכנית רב שנתית לפיתוח אגן העיר העתיקה והר הזיתים,המינהלה לפרוייקטים,"Development of Old City basin, unrelated to green energy."
04.01.12.02,תכנית רב שנתית לעידוד הצמיחה בירושלים,המינהלה לפרוייקטים,"Jerusalem growth plan, unrelated to green energy."
04.01.12.03,טיפול נקודתי,המינהלה לפרוייקטים,"General specific care/treatment, too vague, unrelated."
