code,title,office,domain,program,economic_class,functional_class,program_code,first_year,last_year
04.01.11.01,שיא כח אדם,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,שכר,ראש הממשלה,04.01.11,1997,2014
04.01.11.02,שעות נוספות,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,שכר,ראש הממשלה,04.01.11,1997,2014
04.01.11.03,עבודה בלתי צמיתה,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,שכר,ראש הממשלה,04.01.11,2004,2014
04.01.11.04,פעולות הנהלה מיוחדות,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,1997,2013
04.01.11.05,השתתפות בפרוייקט מרכבה,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2003,2011
04.01.11.06,מיכון,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,1997,2014
04.01.11.07,עלויות פרישה,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,שכר,ראש הממשלה,04.01.11,1997,2014
04.01.11.08,השתתפות בבוחן ותהילה,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2000,2014
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2011,2014
04.01.11.10,טיפול בבעיות הדרוזים,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,1997,2004
04.01.11.11,מלגות לדרוזים,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,1997,2004
04.01.11.12,"ועידת רוה""מ לעסקים",משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,1998,2004
04.01.11.13,קתדרה ללימודי יהדות,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,1998,2012
04.01.11.14,"השתתפות משרד תמ""ס",משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,1998,2004
04.01.11.15,השתתפות גורמי חוץ,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,הכנסות מיועדות,ראש הממשלה,04.01.11,1999,2004
04.01.11.16,"פעולות, תפעול ותשתיות",משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,2001,2004
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,2002,2011
04.01.11.18,"השתתפות בבניין רוה""מ",משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2002,2006
04.01.11.19,השתתפות בפרוייקט ממשל זמין,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2003,2011
04.01.11.20,"פרוייקטים - משרד רוה""מ",משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,2004,2014
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2004,2013
04.01.11.22,השתתפות במשרד החינוך,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2007,2009
04.01.11.23,השתתפות במשרד הביטחון,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2007,2012
04.01.11.24,השתתפות בדיור הממשלתי - פרויקט אלמוג,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2007,2014
04.01.11.25,פרויקט אלמוג,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,2007,2011
04.01.11.26,השתתפות במשרד החינוך - פרויקט יד בן צבי,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2007,2010
04.01.11.27,השתתפות במשרד הביטחון,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2007,2012
04.01.11.28,חגיגות 60 שנה למדינה ו-40 שנה לירושלים,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,2007,2013
04.01.11.29,"השתתפות במשרד המדע, התרבות והספורט - בית התפוצות",משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2007,2014
04.01.11.30,העסקת סטודנטים,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,שכר,ראש הממשלה,04.01.11,2008,2014
04.01.11.31,שכר עידוד,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,שכר,ראש הממשלה,04.01.11,2008,2014
04.01.11.32,רזרבה לעמידה ביעד ההוצאה - חגיגות 60 למדינה,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,2008,2011
04.01.11.33,השתתפות בביתן יהודי באושוויץ,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2009,2013
04.01.11.35,הרשאה - חגיגות 60 שנה למדינה,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,קניות,ראש הממשלה,04.01.11,2007,2009
04.01.11.36,השתתפות בלשכת הפרסום הממשלתית במסגרת חגיגות ה-60,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2008,2010
04.01.11.37,השתתפות במשרד הביטחון במסגרת חגיגות ה-60,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2008,2012
04.01.11.38,השתתפות במשרד החינוך במסגרת חגיגות ה-60 למדינה,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2008,2012
04.01.11.39,השתתפות במשרד התיירות- חגיגות ה- 60,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2008,2011
04.01.11.40,השתתפות במשרד התחבורה- חגיגות ה- 60,משרד ראש הממשלה,תחום פעולה כללי,שירותים מרכזיים,העברות  פנים תקציביות,ראש הממשלה,04.01.11,2008,2011
