code,year,amount_allocated,amount_revised,amount_used
04.02.85.01,2011,0,110000,55054
04.02.85.01,2012,0,786000,793145
04.02.85.01,2013,0,0,0
04.02.85.01,2014,0,0,0
04.02.85.02,2012,0,54000,0
04.02.85.02,2013,0,0,0
04.02.85.02,2014,0,0,0
04.02.85.03,2011,0,20000,8683
04.02.85.03,2012,0,14000,77297
04.02.85.03,2013,0,0,0
04.02.85.03,2014,0,0,0
04.02.85.04,2011,0,0,0
04.02.85.04,2012,0,8000,14708
04.02.85.04,2013,0,0,0
04.02.85.04,2014,0,0,0
04.02.85.10,2011,0,870000,14107
04.02.85.10,2012,0,690000,16358
04.02.85.10,2013,0,0,0
04.02.85.10,2014,0,0,0
04.03.03.37,2009,2328000,2878000,2337488
04.03.03.37,2010,2327000,2868000,2205186
04.03.03.37,2011,2832000,3995000,1809627
04.03.03.37,2012,2832000,4875000,2081666
04.03.03.37,2013,0,0,0
04.03.03.37,2014,0,0,0
04.06.14.29,2007,0,900000,0
04.06.14.29,2008,0,900000,0
04.06.14.29,2009,0,2132000,0
04.06.14.29,2010,0,2132000,1232000
04.06.14.29,2011,0,0,0
04.06.14.29,2012,0,0,0
04.23.04.02,2010,0,1000000,0
04.23.04.02,2011,0,0,0
04.23.04.02,2012,0,0,0
04.23.04.02,2013,0,0,0
04.63.03.46,2025,0,0,0
04.63.03.46,2026,3581000,3581000,
05.02.08.61,2009,0,150000,104763
05.02.08.61,2010,0,245000,29759
05.02.08.61,2011,0,216000,67254
05.02.08.61,2012,0,0,0
05.02.08.61,2013,0,0,0
05.02.08.91,2004,7316000,7316000,0
05.02.08.91,2005,8022000,7717000,312665
05.02.08.91,2006,0,0,0
05.02.08.91,2007,0,0,0
05.02.17.06,2009,0,400000,0
05.02.17.06,2010,0,400000,0
05.02.17.06,2011,0,150000,0
05.02.17.06,2012,0,150000,46139
05.02.17.06,2013,0,0,0
05.02.17.06,2014,0,0,0
05.09.01.17,2004,0,3000000,0
05.09.01.17,2005,0,8400000,5590090
05.09.01.17,2006,0,2722000,1710302
05.09.01.17,2007,0,22544000,13118285
05.09.01.17,2008,0,2776000,855670
05.09.01.17,2009,0,712000,0
05.09.01.17,2010,0,615000,120672
05.09.01.17,2011,0,693000,297337
05.09.01.17,2012,0,246000,27984
05.09.01.17,2013,0,0,0
05.09.01.17,2014,0,0,0
07.80.02.72,2023,0,6700000,6594557
07.80.02.72,2024,6000000,5404000,5262293
07.80.02.72,2025,0,130000,163657
07.80.02.72,2026,0,0,
18.11.01.97,2016,0,2560000,0
18.11.01.97,2017,0,3547000,220247
18.11.01.97,2018,0,3060000,625083
18.11.01.97,2019,0,4416000,2230073
18.11.01.97,2020,,0,0
18.11.01.97,2021,0,0,0
26.03.03.01,2008,155000,955000,181000
26.03.03.01,2009,4450000,21736000,20401533
26.03.03.01,2010,2433000,13672000,10893147
26.03.03.01,2011,412000,3456000,3174116
26.03.03.01,2012,412000,4623000,434147
26.03.03.01,2013,0,0,0
26.03.03.01,2014,0,0,0
26.03.03.02,2008,0,212000,193210
