code,title,office,program,economic_class_primary,item_url
04.02.85.01,עבודה בלתי צמיתה,משרד ראש הממשלה,הוועדה לבדיקת תחליפי,שכר,https://next.obudget.org/i/0829aed61d18
04.02.85.02,שעות נוספות,משרד ראש הממשלה,הוועדה לבדיקת תחליפי,שכר,https://next.obudget.org/i/a764655039f6
04.02.85.03,החזר הוצאות רכב,משרד ראש הממשלה,הוועדה לבדיקת תחליפי,שכר,https://next.obudget.org/i/9a7bda5f3a0f
04.02.85.04,העסקת סטודנטים,משרד ראש הממשלה,הוועדה לבדיקת תחליפי,שכר,https://next.obudget.org/i/41856cd88df6
04.02.85.10,תפעול,משרד ראש הממשלה,הוועדה לבדיקת תחליפי,קניות,https://next.obudget.org/i/0774589ecb2b
04.03.03.37,הוצאות חשמל,משרד ראש הממשלה,אמרכלות,קניות,https://next.obudget.org/i/47f2f617c588
04.06.14.29,"השתתפות במנהל לפיתוח תשתיות, משרד התשתיות",משרד ראש הממשלה,מימון פעולות משרדי,העברות  פנים תקציביות,https://next.obudget.org/i/b60ed55a34d8
04.23.04.02,השתתפות במשרד להגנת הסביבה,משרד ראש הממשלה,קידום שיתוף פעולה,העברות  פנים תקציביות,https://next.obudget.org/i/1a35279c352f
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,קניות,https://next.obudget.org/i/dd7ffb7099d3
05.02.08.61,התייעלות אנרגטית,משרד האוצר,מנהל הדיור הממשלתי,קניות,https://next.obudget.org/i/12a73189b38f
05.02.08.91,מרכז אנרגיה,משרד האוצר,מנהל הדיור הממשלתי,קניות,https://next.obudget.org/i/becf9719ff3a
05.02.17.06,הוצאות למכרז חשמל,משרד האוצר,מנהל הרכש,קניות,https://next.obudget.org/i/a2ac0b5428c5
05.09.01.17,ייעוץ בנושא משק החשמל,משרד האוצר,רשות החברות הממשלתיות,קניות,https://next.obudget.org/i/0c67aa3f032d
07.80.02.72,קרן התייעלות,המשרד לביטחון לאומי,קניות,קניות,https://next.obudget.org/i/7e2b8305a537
18.11.01.97,התייעלות אנרגטית ברשויות המקומיות,הרשויות המקומיות,העברות לרשויות,העברות,https://next.obudget.org/i/8efb8d598f83
26.03.03.01,אשכול משאבי טבע - פעולות מקצועיות,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/01e209fd5930
26.03.03.02,אשכול משאבי טבע - הרשאה לפעולות מקצועיות,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/b47227bd1993
26.03.03.03,אשכול משאבי טבע - תמיכות,המשרד להגנת הסביבה,אשכול משאבי טבע,העברות,https://next.obudget.org/i/e4a69de0f0fb
26.03.03.32,אשכול משאבי טבע תמיכות מזומן,המשרד להגנת הסביבה,אשכול משאבי טבע,העברות,https://next.obudget.org/i/f4e4b13e8750
26.03.03.40,אשכול משאבי טבע - פעולות,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/54042294c507
26.03.12.01,סקרים ומחקרים - מדען ראשי - הרשאה,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/82b03f21bb53
26.03.12.02,סקרים ומחקרים במדען הראשי - מזומן,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/013aae9982aa
26.03.12.03,פעולות יחידת המדען הראשי,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/5668d26d3a63
26.03.12.05,סקרים ומחקרים,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/8e1a7375a7a3
26.03.12.06,פרוייקט כדאיות כלכלית ייעוץ ופעולות,משרד איכות הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/47e5a921d218
26.03.12.08,מחקר הערכה - הוצאה,משרד איכות הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/adca2f129f20
26.03.12.12,התאחדות התעשיינים - הוצאה,משרד איכות הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/5493334c5436
26.03.12.19,"מדענים מחו""ל",המשרד להגנת הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/725237dbbe75
26.03.12.20,פרוייקט בניה ירוקה - הוצאה,משרד איכות הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/cb542957c794
26.03.12.51,תחליפי נפט-ביצוע החלטת ממשלה 2790 מיום 30.1.2011,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/cf8e6a28c88d
26.03.21.01,"קרן האוזון אמנת וינה EERV ,IUCN, אמנת מיגוון המינים",משרד איכות הסביבה,השתתפות באמנות וקרנות,קניות,https://next.obudget.org/i/aa38fc0ed47b
