code,title,economic_class,reason
04.01.11.01,שיא כח אדם,שכר,Personnel cap (שיא כח אדם) is always related.
04.01.11.15,השתתפות גורמי חוץ,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות) is always related.
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,העברות  פנים תקציביות,Internal transfer to Ministry of Environmental Protection.
04.01.11.51,השתתפות המשרד להגנת הסביבה,העברות  פנים תקציביות,Internal transfer to Ministry of Environmental Protection.
04.01.11.95,רזרבה להתייקרויות כללית,רזרבות,General reserve (רזרבות) is always related.
04.01.12.09,רזרבה לעמידה ביעד ההוצאה,קניות,Reserve (רזרבה) is always related.
04.01.12.17,השתתפות מנהל מקרקעי ישראל - פיתוח מנהרות הכותל,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות) is always related.
04.01.12.27,רזרבה לפרויקטים,קניות,Reserve (רזרבה) is always related.
04.01.12.29,השתתפות מינהל מקרקעי ישראל - פיתוח שער המוגרבים,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות) is always related.
04.01.12.31,רזרבה להשתתפויות,קניות,Reserve (רזרבה) is always related.
04.01.12.32,השתתפות משרד ראש הממשלה,העברות  פנים תקציביות,Internal transfer (העברות פנים תקציביות) is always related.
04.01.12.60,רזרבה להתשתתפויות,קניות,Reserve (רזרבה) is always related.
04.01.12.62,רזרבה לפעולות המשרד,קניות,Reserve (רזרבה) is always related.
04.01.12.95,רזרבה להתייקוריות כללית,רזרבות,General reserve (רזרבות) is always related.
04.01.19.01,שיא כח אדם,שכר,Personnel cap (שיא כח אדם) is always related.
04.01.19.11,הכנסות ממכירת מכרזים,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות) is always related.
04.01.19.12,הכנסות ממכירת מכרזים,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות) is always related.
04.01.19.19,הכנסה מההסתדרות הציונית,הכנסות מיועדות,Earmarked revenue (הכנסות מיועדות) is always related.
04.01.19.35,שיא כח אדם,שכר,Personnel cap (שיא כח אדם) is always related.
04.01.19.39,עובדים לא משובצים - שיא כח אדם,שכר,Personnel cap (שיא כח אדם) is always related.
04.03.02.93,"רזרבה להתייקרויות שכר - בגין השתתפויות משרדים בלמ""ס",שכר,Reserve for salary increases distorts budget total.
04.03.02.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve distorts budget total.
04.03.02.96,השתתפות משרדי ממשלה בקניות,העברות  פנים תקציביות,Internal transfer account distorts budget total.
04.03.02.97,השתתפות משרדי הממשלה בשכר,העברות  פנים תקציביות,Internal transfer account distorts budget total.
04.03.02.98,השתתפות גורמי חוץ,הכנסות מיועדות,Earmarked revenue distorts budget total.
04.03.03.90,רזרבה לדיור ופיתוח,קניות,Reserve for housing and development distorts budget total.
04.03.03.91,"רזרבה לפיתוח למ""ס",שכר,Reserve distorts budget total.
04.03.03.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve distorts budget total.
04.03.03.96,רזרבה לשוטף בבנין החדש,קניות,Reserve distorts budget total.
04.03.03.97,רזרבה לשכר דירה לבנין החדש,העברות  פנים תקציביות,Reserve for rent distorts budget total.
04.03.05.01,שיא כוח אדם,שכר,"Personnel cap counts posts, not shekels."
04.03.05.96,השתתפות גורמי חוץ,הכנסות מיועדות,Earmarked revenue distorts budget total.
04.05.10.01,שיא כח אדם,שכר,"Personnel cap counts posts, not shekels."
04.05.10.09,השתתפות משרדי הממשלה,העברות  פנים תקציביות,Internal transfer account distorts budget total.
04.05.10.12,הכנסות מצילומים,הכנסות מיועדות,Earmarked revenue distorts budget total.
04.05.10.19,השתתפות גורמי חוץ,הכנסות מיועדות,Earmarked revenue distorts budget total.
04.05.10.95,רזבה להתייקרויות כללית,רזרבות,General inflation reserve distorts budget total.
04.05.19.90,השתתפות משרדים באחזקה,העברות  פנים תקציביות,Internal transfer account distorts budget total.
04.05.19.91,השתתפות גורמי חוץ,הכנסות מיועדות,Earmarked revenue distorts budget total.
04.05.19.95,רזרבה להתייקרויות כללית,רזרבות,General inflation reserve distorts budget total.
04.06.03.17,רזרבת עמידה בהחלטת ממשלה מספר 1879,קניות,Reserve distorts budget total.
04.06.03.20,רזרבה לעמידה ביעד ההוצאה,קניות,Reserve distorts budget total.
04.06.03.50,רזרבה,קניות,Reserve distorts budget total.
04.06.04.20,רזרבה לסיוע חברתי,קניות,Reserve for social assistance distorts budget total.
04.06.04.50,רזרבה לעמידה ביעד ההוצאה,קניות,Reserve distorts budget total.
04.52.04.14,רזרבה למשרד לעניינים אסטרטגיים,קניות,General reserve for a non-related ministry.
04.52.04.15,השתתפות במנהל הדיור הממשלתי,העברות  פנים תקציביות,Internal transfer to government housing directorate.
04.52.04.16,רזרבה לתקציב התאמות  2019,קניות,General budget adjustments reserve.
04.52.04.17,השתתפות בסעיף 04,העברות  פנים תקציביות,Internal budget transfer.
04.52.04.18,השתתפות ממשרדי ממשלה,העברות  פנים תקציביות,Internal transfer from government ministries.
04.53.01.01,שיא כח אדם,שכר,"Personnel cap, not direct spending."
04.53.01.12,השתתפות במנהל הרכב הממשלתי,העברות  פנים תקציביות,Internal transfer to government vehicle directorate.
04.53.01.13,השתתפות במנהל הדיור הממשלתי,העברות  פנים תקציביות,Internal transfer to government housing directorate.
04.53.01.18,השתתפות במשרדי הממשלה,העברות  פנים תקציביות,Internal transfer to government ministries.
04.53.01.19,השתתפות משרדי הממשלה,העברות  פנים תקציביות,Internal transfer to government ministries.
04.53.01.20,הכנסות מגורמי חוץ,הכנסות  מיועדות,Earmarked revenue from external sources.
04.53.01.21,רזרבה לתקציב התאמות  2019,קניות,General budget adjustments reserve.
04.53.02.01,שיא כח אדם,שכר,"Personnel cap, not direct spending."
04.53.02.13,הכנסות מגורמי חוץ,הכנסות מיועדות,Earmarked revenue from external sources.
04.53.02.15,השתתפות במשרדי ממשלה,העברות  פנים תקציביות,Internal transfer to government ministries.
04.56.01.04,שיא כח אדם,שכר,"Personnel cap, not direct spending."
04.56.01.12,השתתפות במנהל הדיור הממשלתי,העברות  פנים תקציביות,Internal transfer to government housing directorate.
04.56.01.15,השתתפות במנהל הרכב הממשלתי,העברות  פנים תקציביות,Internal transfer to government vehicle directorate.
04.56.01.17,רזרבה לתקציב התאמות  2019,קניות,General budget adjustments reserve.
04.56.01.21,השתתפות בסעיף 04,העברות  פנים תקציביות,Internal budget transfer.
04.57.03.01,שיא כוח אדם,שכר,"Personnel cap, not direct spending."
05.02.01.01,שיא כח אדם,שכר,"Personnel cap, not direct spending."
05.02.01.10,השתתפות סעיף 13,העברות  פנים תקציביות,Internal budget transfer.
05.02.01.20,השתתפות בפרויקט מרכבה וממשל זמין,העברות  פנים תקציביות,Internal transfer for IT projects.
05.02.01.24,השתתפות מסעיף השקעות שונות בנושא העסקת רואי חשבון (תעשיות בטחוניות),העברות  פנים תקציביות,Internal transfer for defense industry accountants.
05.02.01.41,השתת' משרדי ממשלה,העברות  פנים תקציביות,Internal transfer between ministries.
05.02.01.42,השתתפות משרדים ביעוץ לחוק תאגידי מים וביוב,העברות  פנים תקציביות,Internal transfer for water/sewage law consulting.
05.02.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for price increases.
05.02.04.01,שיא כח אדם,שכר,"Personnel cap, not direct spending."
05.02.04.05,השתתפות המשרדים בפרסומים,העברות  פנים תקציביות,Internal transfer for publications.
05.02.04.07,הכנסה מגורמי חוץ לפרסומים באינטרנט,הכנסות מיועדות,Earmarked revenue for internet publications.
05.02.04.08,"הכנסות ממ""י",הכנסות מיועדות,Earmarked revenue from Israel Land Authority.
05.02.04.09,השתתפות חטיבה להתיישבות,העברות  פנים תקציביות,Internal transfer for Settlement Division.
05.02.04.14,השתתפות המשרדים בפעולות ביקורת,העברות  פנים תקציביות,Internal transfer for audit activities.
05.02.04.16,הכנסה מגורמי חוץ,הכנסות מיועדות,Earmarked revenue from external sources.
05.02.04.18,השתתפות משרד התחבורה ביעוץ,העברות  פנים תקציביות,Internal transfer for Transportation Ministry consulting.
05.02.04.21,השתתפות סעיף 31,העברות  פנים תקציביות,Internal budget transfer.
