code,title,office,domain,verdict,reason
34.01.01,שירותים מרכזיים,משרד האנרגיה והמים,תחום פעולה כללי,ambiguous,כותרת כללית במשרד רלוונטי.
34.01.02,אמרכלות ופעולות,משרד האנרגיה והמים,תחום פעולה כללי,ambiguous,כותרת כללית במשרד רלוונטי.
34.02.01,שירותים מרכזיים,משרד התשתיות הלאומיות,מטה משרד התשתיות,ambiguous,כותרת כללית במשרד רלוונטי (לשעבר).
34.02.02,יחידת רעידות אדמה,משרד האנרגיה והמים,מטה משרד התשתיות,drop,"עוסק ברעידות אדמה, לא באנרגיה ירוקה."
34.02.03,לשכת סגנית השר,משרד התשתיות הלאומיות,מטה משרד התשתיות,ambiguous,כותרת כללית במשרד רלוונטי (לשעבר).
34.02.04,תגבור מינהל הדלק,משרד התשתיות הלאומיות,מטה משרד התשתיות,drop,מתמקד בדלק (דלק מאובנים) ולא אנרגיה ירוקה.
34.02.05,תגבור יחידת הנפט,משרד התשתיות הלאומיות,מטה משרד התשתיות,drop,מתמקד בנפט (דלק מאובנים) ולא אנרגיה ירוקה.
34.04.01,מחשוב ומערכות מידע,משרד האנרגיה והמים,מחשוב המשרד,ambiguous,כותרת כללית במשרד רלוונטי.
34.05.01,מינהלת גז טבעי,משרד התשתיות הלאומיות,הערכות לגז טבעי,ambiguous,"גז טבעי הוא דלק מעבר, יתכן רלוונטי."
34.06.02,יחידת המכרות,משרד האנרגיה והמים,מינהל המחקר למדעי,drop,"עוסק בכרייה, לא קשור לאנרגיה ירוקה."
34.06.03,שירותים מרכזיים,משרד האנרגיה והמים,מינהל המחקר למדעי,ambiguous,כותרת כללית במשרד רלוונטי.
34.06.04,אמרכלות,משרד האנרגיה והמים,מינהל המחקר למדעי,ambiguous,כותרת כללית במשרד רלוונטי.
34.06.05,ועדת היגוי לבורות ים,משרד האנרגיה והמים,מינהל המחקר למדעי,drop,"עוסק בבורות ים, לא באנרגיה ירוקה."
34.06.06,רזרבה להתייקרויות,משרד האנרגיה והמים,מינהל המחקר למדעי,ambiguous,כותרת כללית במשרד רלוונטי.
34.07.01,פעילות סיירת ירוקה,משרד התשתיות הלאומיות,סיירת ירוקה,ambiguous,"קשור להגנת הסביבה, נושא קשור לאנרגיה ירוקה."
34.08.01,פעולות מנהלת ההקמה,משרד התשתיות הלאומיות,מנהלת ההקמה של צנרת,drop,"קשור להקמת צנרת (כנראה דלק), לא אנרגיה ירוקה."
34.10.01,רשויות פיתוח אזוריות,משרד התשתיות הלאומיות,רשויות פיתוח אזוריות,ambiguous,כותרת כללית במשרד רלוונטי.
34.10.02,מועצת האזורים החופשיים,משרד התשתיות הלאומיות,רשויות פיתוח אזוריות,ambiguous,כותרת כללית במשרד רלוונטי.
34.11.01,פיתוח אנרגיות חלופיות,משרד האנרגיה והמים,מחקר ופיתוח באנרגיה,keep,"מתמקד בפיתוח אנרגיות חלופיות, קרי אנרגיה ירוקה."
34.12.01,עידוד חסכון באנרגיה,משרד התשתיות הלאומיות,יעול השימוש באנרגיה,keep,"עוסק בעידוד חיסכון באנרגיה, רלוונטי לנושא."
34.12.02,רפרנטורה טכנית,משרד התשתיות הלאומיות,יעול השימוש באנרגיה,ambiguous,כותרת כללית בתחום יעול אנרגיה.
34.12.03,יעילות השימוש באנרגיה,משרד האנרגיה והמים,יעול השימוש באנרגיה,keep,"עוסק ביעילות השימוש באנרגיה, רלוונטי לנושא."
34.13.01,יצירת מידע והפצתו,משרד האנרגיה והמים,פעולות מידע,ambiguous,כותרת כללית במשרד רלוונטי.
34.14.02,פיקוח במשק הדלק,משרד האנרגיה והמים,פעולות פיקוח במשק הדלק,drop,פיקוח על משק הדלק (דלק מאובנים) אינו אנרגיה ירוקה.
34.16.01,מענקים לפיתוח תשתית,משרד התשתיות הלאומיות,פיתוח מערכת החשמל,ambiguous,פיתוח מערכת החשמל יכול לכלול אנרגיה ירוקה.
34.16.02,הערכות לקראת סיום,משרד התשתיות הלאומיות,פיתוח מערכת החשמל,ambiguous,כותרת כללית בתחום פיתוח מערכת החשמל.
34.16.03,הקמת גוף לפיקוח על משק,משרד התשתיות הלאומיות,פיתוח מערכת החשמל,ambiguous,כותרת כללית בתחום פיתוח מערכת החשמל.
34.16.04,פעילות ליישום חוק משק,משרד התשתיות הלאומיות,פיתוח מערכת החשמל,ambiguous,כותרת כללית בתחום פיתוח מערכת החשמל.
34.17.01,מענקים למוסדות מחקר,משרד האנרגיה והמים,מחקר ופיתוח תשתית,ambiguous,"מענקים למחקר במשרד רלוונטי, יכול לכלול אנרגיה ירוקה."
34.17.02,ניטור סייסמי,משרד התשתיות הלאומיות,מחקר ופיתוח תשתית,drop,"עוסק בניטור סייסמי, לא קשור לאנרגיה ירוקה."
34.17.03,תשתית מידע לחפושי נפט,משרד האנרגיה והמים,מחקר ופיתוח תשתית,drop,"קשור לחיפושי נפט, לא אנרגיה ירוקה."
34.17.04,פרויקט הגנות ים המלח,משרד התשתיות הלאומיות,מחקר ופיתוח תשתית,drop,פרויקט הגנת ים המלח אינו קשור לאנרגיה ירוקה.
34.17.05,רזרבה למחקר,משרד התשתיות הלאומיות,מחקר ופיתוח תשתית,ambiguous,"רזרבה למחקר במשרד רלוונטי, יכול לכלול אנרגיה ירוקה."
34.18.01,רזרבה להתייקרויות,משרד האנרגיה והמים,רזרבה להתייקרויות,ambiguous,כותרת כללית במשרד רלוונטי.
34.20.01,הוצאות שכר ונלווים,משרד התשתיות הלאומיות,רשות ממשלתית למים,ambiguous,"כותרת כללית ברשות ממשלתית למים, יתכן קשר."
34.20.02,אמרכלות,משרד התשתיות הלאומיות,רשות ממשלתית למים,ambiguous,"כותרת כללית ברשות ממשלתית למים, יתכן קשר."
34.20.03,השתתפויות במשרדי,משרד התשתיות הלאומיות,רשות ממשלתית למים,ambiguous,"כותרת כללית ברשות ממשלתית למים, יתכן קשר."
34.20.04,פעולות משק המים,משרד התשתיות הלאומיות,רשות ממשלתית למים,ambiguous,"פעולות משק המים, יתכן קשר לאנרגיה ירוקה."
34.20.05,משק המים - כללי,משרד התשתיות הלאומיות,רשות ממשלתית למים,ambiguous,"משק המים כללי, יתכן קשר לאנרגיה ירוקה."
34.21.01,פיקוח ומניעת זהום,משרד התשתיות הלאומיות,פעולות משק המים,ambiguous,"מניעת זיהום קשורה להגנת הסביבה, ויתכן לאנרגיה ירוקה."
34.21.03,חסכון במים,משרד התשתיות הלאומיות,פעולות משק המים,ambiguous,חיסכון במים קשור בעקיפין לחיסכון באנרגיה.
34.21.05,מחקרים וסקרים,משרד התשתיות הלאומיות,פעולות משק המים,ambiguous,"מחקרים וסקרים בתחום המים, יתכן קשר."
34.21.06,פעולות לתוספת מים,משרד התשתיות הלאומיות,פעולות משק המים,ambiguous,פעולות לתוספת מים יתכן קשור לפתרונות אנרגיה.
34.21.07,ייעוץ והכנת מכרזים,משרד התשתיות הלאומיות,פעולות משק המים,ambiguous,"כותרת כללית בתחום המים, יתכן קשר."
34.21.08,פיקוח עליון,משרד התשתיות הלאומיות,פעולות משק המים,ambiguous,"כותרת כללית בתחום המים, יתכן קשר."
34.21.09,פיקוח במסגרת הסכמי,משרד התשתיות הלאומיות,פעולות משק המים,ambiguous,"כותרת כללית בתחום המים, יתכן קשר."
34.22.01,היחידה לקידום מפעלי,משרד התשתיות הלאומיות,היחידה לקידום מפעלי,ambiguous,כותרת כללית במשרד רלוונטי.
34.23.01,מינהל לתשתיות ביוב,משרד התשתיות הלאומיות,המינהל לתשתיות ביוב,ambiguous,תשתיות ביוב עשויות לכלול היבטי אנרגיה ירוקה.
34.24.01,רזרבה להתייקרויות -,משרד התשתיות הלאומיות,רזרבה למשק המים,ambiguous,"רזרבה בתחום המים, יתכן קשר."
34.30.01,הוצאות שכר,משרד האנרגיה,מטה המשרד,ambiguous,כותרת כללית במשרד רלוונטי.
34.30.02,תפעול ופעולות,משרד האנרגיה,מטה המשרד,ambiguous,כותרת כללית במשרד רלוונטי.
34.30.03,יחידות מקצועיות,משרד האנרגיה,מטה המשרד,ambiguous,כותרת כללית במשרד רלוונטי.
34.30.04,יחידות מקצועיות,משרד האנרגיה והמים,מטה המשרד,ambiguous,כותרת כללית במשרד רלוונטי.
34.30.05,מנהל הדלק ואוצרות טבע,משרד האנרגיה והמים,מטה המשרד,drop,דלק ואוצרות טבע אינם מתמקדים באנרגיה ירוקה.
34.30.06,ייעוץ מקצועי ומחקרים,משרד האנרגיה והמים,מטה המשרד,ambiguous,"ייעוץ ומחקר במשרד רלוונטי, יכול לכלול אנרגיה ירוקה."
34.31.01,הוצאות שכר,משרד האנרגיה,מכון גיאולוגי,drop,מכון גיאולוגי אינו עוסק ישירות באנרגיה ירוקה.
34.31.02,תפעול ופעולות,משרד האנרגיה,מכון גיאולוגי,drop,פעולות מכון גיאולוגי אינן עוסקות ישירות באנרגיה ירוקה.
34.32.01,רזרבה להתייקרויות,משרד האנרגיה,רזרבות,ambiguous,כותרת כללית במשרד רלוונטי.
34.33.01,שכר ופעולות,משרד האנרגיה,משאבי מים,ambiguous,"שכר ופעולות בתחום משאבי המים, יתכן קשר."
34.99.99,חשבון מעבר,משרד האנרגיה,חשבון מעבר,ambiguous,כותרת כללית במשרד רלוונטי.
35.01.01,הועדה לאנרגיה אטומית,הועדה לאנרגיה אטומית,הועדה לאנרגיה אטומית,drop,"עוסק באנרגיה אטומית, לא אנרגיה ירוקה."
38.01.01,"""אופריישן אינדיפנדנס""",תמיכות בענפי המשק,פתוח שוקים ליצוא,ambiguous,"כותרת אטומה, תיתכן רלוונטיות לתמיכה בטכנולוגיה."
38.01.08,ביטוח משנה עבור ביטוח,תמיכות בענפי המשק,פתוח שוקים ליצוא,drop,"עוסק בביטוח משנה, לא קשור לאנרגיה ירוקה."
38.01.19,פעולות לעידוד היצוא,תמיכות בענפי משק,פתוח שוקים ליצוא תעשיתי,drop,"עידוד יצוא כללי, ללא קשר מובהק לאנרגיה ירוקה."
38.02.01,"מענקי מחקר ופיתוח עפ""י",תמיכות בענפי המשק,מחקר ופיתוח תעשייתי,ambiguous,מענקי מחקר ופיתוח יכולים לכלול אנרגיה ירוקה.
38.02.02,"מענקים לשלבי מו""פ",תמיכות בענפי המשק,מחקר ופיתוח תעשייתי,ambiguous,מענקים למחקר ופיתוח יכולים לכלול אנרגיה ירוקה.
38.02.03,"תשתיות מו""פ ומכוני מחקר",תמיכות בענפי המשק,מחקר ופיתוח תעשייתי,ambiguous,תשתית מחקר ופיתוח יכולה לכלול אנרגיה ירוקה.
38.02.04,"מו""פ בין לאומי",תמיכות בענפי המשק,מחקר ופיתוח תעשייתי,ambiguous,מחקר ופיתוח בינלאומי יכול לכלול אנרגיה ירוקה.
38.02.05,בדיקת פרויקטים ומנהלות,תמיכות בענפי המשק,מחקר ופיתוח תעשייתי,ambiguous,כותרת כללית בתחום מחקר ופיתוח.
38.02.06,תוכניות סיוע אחרות,תמיכות בענפי המשק,מחקר ופיתוח תעשייתי,ambiguous,כותרת כללית בתחום מחקר ופיתוח.
38.02.15,רזרבה להתיקרויות,תמיכות בענפי המשק,מחקר ופיתוח תעשייתי,drop,"רזרבה כללית, ללא קשר ישיר לאנרגיה ירוקה."
38.03.01,מענקים לפי חוק,תמיכות בענפי המשק,הטבות לעידוד השקעות הון,drop,"מענקים כלליים לעידוד השקעות, ללא קשר מובהק."
38.03.02,הטבות מס - מסלול חלופי,תמיכות בענפי המשק,הטבות לעידוד השקעות הון,drop,"הטבות מס כלליות, ללא קשר מובהק לאנרגיה ירוקה."
38.03.03,ערבות מדינה (תיקון 39),תמיכות בענפי המשק,הטבות לעידוד השקעות הון,drop,"ערבות מדינה כללית, ללא קשר מובהק לאנרגיה ירוקה."
38.03.04,מענק הון,תמיכות בענפי המשק,הטבות לעידוד השקעות הון,drop,"מענק הון כללי, ללא קשר מובהק לאנרגיה ירוקה."
38.03.05,"מענקים להשקעות ביו""ש",תמיכות בענפי המשק,הטבות לעידוד השקעות הון,drop,מיקוד גיאוגרפי אינו קשור לאנרגיה ירוקה.
38.03.06,מענקים תקציביים למפעלים,תמיכות בענפי המשק,הטבות לעידוד השקעות הון,drop,"מענקים למפעלים כלליים, ללא קשר מובהק לאנרגיה ירוקה."
