code,title,economic_class,reason
34.01.01.01,שיא כח אדם,שכר,Personnel cap (שיא כח אדם).
34.01.01.02,עבודה בלתי צמיתה,שכר,Personnel-related cost.
34.01.01.03,שעות נוספות,שכר,Personnel-related cost.
34.01.01.04,כוננויות,שכר,Personnel-related cost.
34.01.01.05,פרישת עובדים,שכר,Personnel-related cost.
34.01.01.06,הכנסות ממנהל מקרקעי ישראל,הכנסות מיועדות,Earmarked revenue.
34.01.01.07,שעות סטודנטים,שכר,Personnel-related cost.
34.01.01.11,ךךךך,הכנסות מיועדות,Earmarked revenue.
34.01.01.14,החזר הוצאות רכב שירות ואישי,שכר,Personnel-related cost.
34.01.01.15,שכר עידוד,שכר,Personnel-related cost.
34.01.01.16,הדרכה והשתלמות,קניות,General training for Ministry of Energy.
34.01.01.17,רזרבה לשעות נוספות,שכר,Reserve for personnel costs.
34.01.01.18,רזרבה לשכר עידוד,שכר,Reserve for personnel costs.
34.01.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.01.01.99,שיא כח אדם - רזרבה,שכר,Personnel cap and reserve.
34.01.02.01,"נסיעות לחו""ל",קניות,General travel for Ministry of Energy.
34.01.02.02,"קניית שרותי כ""א",קניות,Personnel services for Ministry of Energy.
34.01.02.03,שיפוץ מבנה המשרד,קניות,General office renovation for Ministry of Energy.
34.01.02.10,אחזקת רכב ממשלתי,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.11,"רזרבה לנסיעות לחו""ל",קניות,Reserve for travel.
34.01.02.14,אחזקת משרדים,קניות,General office maintenance for Ministry of Energy.
34.01.02.15,"שכר דירה בת""א",העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.16,שכר דירה שער העיר - ירושלים,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.17,דיור ממשלתי,קניות,General administrative overhead for Ministry of Energy.
34.01.02.18,שכר דירה,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.19,דמי שימוש בדיור ממשלתי,קניות,General administrative overhead for Ministry of Energy.
34.01.02.20,רזרבה לשכר דירה,קניות,Reserve for rent.
34.01.02.21,"אחזקת מערכת כ""א בנש""מ",העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.23,פעולות המשרד,קניות,General activities for Ministry of Energy.
34.01.02.24,השתתפות ממשרדי הממשלה,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.25,אבטחת השר,קניות,General administrative overhead for Ministry of Energy.
34.01.02.26,השתתפות משרד המדע,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.27,השתתפות באבטחת השר,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.28,השתתפות בהוצאות רשות המים,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.29,השתתפות משרד הפנים,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.30,השתתפות במשרד להגנת הסביבה,העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.31,"השתתפות מרכב""ה",העברות  פנים תקציביות,Internal budgetary transfer.
34.01.02.32,הכנסות ממכירת רכב,הכנסות מיועדות,Earmarked revenue.
34.01.02.34,הכנסות שונות מאמרכלות,הכנסות מיועדות,Earmarked revenue.
34.01.02.40,רווחה,קניות,General administrative overhead for Ministry of Energy.
34.01.02.51,"מחשוב - רכש, תחזוקה ומערכות מידע",קניות,General administrative overhead for Ministry of Energy.
34.01.02.52,הכנסות מגורמי חוץ,הכנסות מיועדות,Earmarked revenue.
34.01.02.54,בוררות חברת חשמל,קניות,Administrative arbitration for Ministry of Energy.
34.01.02.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.01.02.96,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.02.01.01,"עב""צ לשכת השר",שכר,Personnel-related cost.
34.02.01.02,"עב""צ לשכת מנכ""ל",שכר,Personnel-related cost.
34.02.01.03,"עב""צ לשכת מתאם משק המים",שכר,Personnel-related cost.
34.02.01.04,עבודה בלתי צמיתה,שכר,Personnel-related cost.
34.02.01.05,החזר הוצאות רכב שירות ואישי,שכר,Personnel-related cost.
34.02.01.06,שעות נוספות,שכר,Personnel-related cost.
34.02.01.07,שכר עידוד,שכר,Personnel-related cost.
34.02.01.09,רזרבה,שכר,General reserve.
34.02.01.11,הכנסות ממכרז להתפלת מי ים,הכנסות מיועדות,Earmarked revenue for water desalination.
34.02.01.12,השתתפות נציבות המים בהכנת המכרז להתפלת מי ים,העברות  פנים תקציביות,Internal budgetary transfer for water desalination.
34.02.01.14,"רזרבה לעב""צ",שכר,Reserve for personnel costs.
34.02.01.16,הכנסות ממכירת מסמכי מכרזים- מישור רותם,הכנסות מיועדות,Earmarked revenue for water desalination tenders.
34.02.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.02.03.01,"עב""צ - סגנית שר",שכר,Personnel-related cost.
34.02.03.02,שעות נוספות - סגנית שר,שכר,Personnel-related cost.
34.02.03.03,החזר הוצאות רכב,שכר,Personnel-related cost.
34.04.01.01,תחזוקת מחשוב,קניות,General administrative overhead for Ministry of Energy.
34.04.01.02,"תחזוקת תכנה בסיסית - מערכות הפעלה, בסיסי נתונים וכו'",קניות,General administrative overhead for Ministry of Energy.
34.04.01.03,תחזוקת תוכנות יישומיות,קניות,General administrative overhead for Ministry of Energy.
34.04.01.04,תחזוקת תקשורת,קניות,General administrative overhead for Ministry of Energy.
34.04.01.05,קנית שירותי מחשוב,קניות,General administrative overhead for Ministry of Energy.
34.04.01.06,"חומרים מתכלים - ניר, דיסקטים, ציוד משרדי וכו",קניות,General administrative overhead for Ministry of Energy.
34.04.01.07,רכישת מחשוב,קניות,General administrative overhead for Ministry of Energy.
34.04.01.08,השתתפות במערכת מיחשוב ממשלתית,העברות  פנים תקציביות,Internal budgetary transfer.
34.04.01.09,רזרבה למחשוב,קניות,Reserve for computing.
34.04.01.10,"השתתפות בפרוייקט מרכב""ה",העברות  פנים תקציביות,Internal budgetary transfer.
34.04.01.11,השתתפות בפרוייקט ממשל זמין,העברות  פנים תקציביות,Internal budgetary transfer.
34.04.01.51,"מחשוב, רכש, תחזוקה ומערכות מידע",קניות,General administrative overhead for Ministry of Energy.
34.04.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.04.01.96,רזרבה להתייקרויות כללית,רזרבות,General reserve.
34.06.03.01,שיא כח אדם,שכר,Personnel cap (שיא כח אדם).
34.06.03.02,עבודה בלתי צמיתה,שכר,Personnel-related cost.
34.06.03.03,שעות נוספות,שכר,Personnel-related cost.
34.06.03.04,השתלמות חוקרים,שכר,Personnel-related cost for researcher training.
34.06.03.05,עבודה בלתי צמיתה על חשבון הכנסות מגורמי חוץ,שכר,Personnel-related cost funded by external revenue.
34.06.03.06,שעות נוספות על חשבון הכנסות מגורמי חוץ,שכר,Personnel-related cost funded by external revenue.
34.06.03.07,פעולות רווחה,קניות,General administrative overhead for Ministry of Energy.
34.06.03.08,שעות סטודנטים,שכר,Personnel-related cost.
34.06.03.09,פרישת עובדים,שכר,Personnel-related cost.
34.06.03.16,הכנסות ממכירת שרותים,הכנסות מיועדות,Earmarked revenue.
34.06.03.17,"שיא כ""א ע""ח משרד הקליטה",שכר,Personnel cap (שיא כח אדם).
34.06.03.18,השתתפות משרד הקליטה,העברות  פנים תקציביות,Internal budgetary transfer.
34.06.03.19,כוננויות,שכר,Personnel-related cost.
34.06.03.20,שבתונים,שכר,Personnel-related cost.
