code,title,office,program,economic_class_primary,item_url
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,קניות,https://next.obudget.org/i/dd7ffb7099d3
05.02.08.61,התייעלות אנרגטית,משרד האוצר,מנהל הדיור הממשלתי,קניות,https://next.obudget.org/i/12a73189b38f
18.11.01.97,התייעלות אנרגטית ברשויות המקומיות,הרשויות המקומיות,העברות לרשויות,העברות,https://next.obudget.org/i/8efb8d598f83
26.03.28.31,תמיכות בנייה ירוקה לפי החלטת ממשלה 2508 מיום 28.11.2010,המשרד להגנת הסביבה,אשכול תכנון ומדיניות,העברות,https://next.obudget.org/i/69fe8d050404
33.06.02.78,חקלאות מתחדשת תמיכות רב שנתיות,משרד החקלאות,תמיכות ומחקרים בחקלאות,העברות,https://next.obudget.org/i/7b80860ab2dc
34.01.02.35,הוצאות חשמל,משרד האנרגיה והמים,אמרכלות ופעולות,קניות,https://next.obudget.org/i/8ddb5fac4e61
34.06.03.24,"מחקרים ע""ח קרנות מחקר",משרד האנרגיה והמים,שירותים מרכזיים,קניות,https://next.obudget.org/i/a73a54a04c79
34.06.03.30,"מחקר להטמנת פד""ח",משרד האנרגיה והמים,שירותים מרכזיים,קניות,https://next.obudget.org/i/82a3e7c19161
34.06.04.12,פעולות המכון הגיאולוגי,משרד האנרגיה והמים,אמרכלות,קניות,https://next.obudget.org/i/b21091ed3e78
34.06.04.35,הוצאות חשמל,משרד האנרגיה והמים,אמרכלות,קניות,https://next.obudget.org/i/471f3090584b
34.06.04.38,קניית שירותים סייסמיים,משרד האנרגיה והמים,אמרכלות,קניות,https://next.obudget.org/i/3f5139993cf3
34.06.04.39,"קניית שירותים - חיא""ל",משרד האנרגיה והמים,אמרכלות,קניות,https://next.obudget.org/i/dab83cc5c44c
34.06.04.43,שדרוג המערך הססמי,משרד האנרגיה והמים,אמרכלות,קניות,https://next.obudget.org/i/594c440f70b9
34.06.06.05,העברה לשותפים,משרד התשתיות הלאומיות,"מו""פ האחוד האירופי",קניות,https://next.obudget.org/i/fda62acc39c1
34.06.06.06,שונות,משרד התשתיות הלאומיות,"מו""פ האחוד האירופי",קניות,https://next.obudget.org/i/67d09790aa3f
34.11.01.01,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/229110399edd
34.11.01.02,מענקים להדגמת טכנולוגיות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/54ee64764692
34.11.01.03,"השתתפות משרד התמ""ת",משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,https://next.obudget.org/i/d3637f8d224d
34.11.01.04,מחקרים במימון בינלאומי,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/4b03ab005c5c
34.11.01.05,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/1430435c82e3
34.11.01.06,הקמת מתקני חלוץ,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/4f5821076088
34.11.01.07,תשלום חוב לסולמת,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,https://next.obudget.org/i/733915a2ed90
34.11.01.08,השתתפות במשק המים,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,https://next.obudget.org/i/8dd729136dd0
34.11.01.09,השתתפות בשרות המטאורולוגי,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,https://next.obudget.org/i/f55485556bb8
34.11.01.10,רזרבה לסקרים ומענקים,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/438af632ef5c
34.11.01.11,השתתפות המשרד לאיכות הסביבה,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,https://next.obudget.org/i/4d7bf807d92c
34.11.01.12,השתתפות במשרד התחבורה,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,https://next.obudget.org/i/aa62da2f56c4
34.11.01.13,השתתפות במשרד החקלאות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,https://next.obudget.org/i/87f4b436d394
34.11.01.14,השתתפות משרד התחבורה,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,https://next.obudget.org/i/c830e80049d0
