code,title,office,program,first_year,last_year,allocated,revised,used,status,item_url
34.30.03.44,"תמיכה ברשויות מקומיות – אנרגיה מקיימת","משרד האנרגיה","יחידות מקצועיות",2024,2026,25000000.0,25000000.0,,active,https://next.obudget.org/i/4ca0b59519b4
34.30.03.03,"התייעלות אנרגטית – הרשאה","משרד האנרגיה","יחידות מקצועיות",2015,2026,21731000.0,21731000.0,,active,https://next.obudget.org/i/d46c1c1da51f
04.63.03.46,"תשתיות אנרגיה מתחדשת","משרד ראש הממשלה","פיתוח הנגב והגליל",2025,2026,3581000.0,3581000.0,,active,https://next.obudget.org/i/dd7ffb7099d3
34.30.03.01,"פעולות התייעלות אנרגטית","משרד האנרגיה","יחידות מקצועיות",2013,2026,1500000.0,1500000.0,,active,https://next.obudget.org/i/3679a64d9444
26.03.12.20,"פרוייקט בניה ירוקה - הוצאה","משרד איכות הסביבה","סקרים ומחקרים",1998,2004,0.0,0.0,0.0,dormant,https://next.obudget.org/i/cb542957c794
26.03.28.31,"תמיכות בנייה ירוקה לפי החלטת ממשלה 2508 מיום 28.11.2010","המשרד להגנת הסביבה","אשכול תכנון ומדיניות",2012,2014,0.0,0.0,0.0,dormant,https://next.obudget.org/i/69fe8d050404
34.12.03.22,"פעולות כלליות בשימור אנרגיה","משרד האנרגיה","יעילות השימוש באנרגיה",2008,2014,0.0,0.0,0.0,dormant,https://next.obudget.org/i/b45cab05d466
34.12.03.24,"תקינה, אכיפה וסקרי אנרגיה","משרד האנרגיה","יעילות השימוש באנרגיה",2011,2014,0.0,0.0,0.0,dormant,https://next.obudget.org/i/1626a3192e2f
38.10.02.09,"מכון לאנרגיה מתחדשת","תמיכות בענפי המשק","תכנית הדרום",2009,2012,0.0,0.0,0.0,dormant,https://next.obudget.org/i/96d9f0dc2ccc
38.30.02.04,"מרכז לאנרגיה מתחדשת","כלכלה ותעשייה","מענקי מחקר ופיתוח",2013,2022,0.0,0.0,0.0,dormant,https://next.obudget.org/i/b2351eb3d641
