code,year,amount_allocated,amount_revised,amount_used
04.01.19.31,1997,0,0,0
04.01.19.31,1998,0,0,0
04.51.01.38,2015,8163000,8163000,1087697
04.51.01.38,2016,26880000,10930000,3097934
04.51.01.38,2017,25482000,21215000,4974518
04.51.01.38,2018,25482000,13126000,1294614
04.51.01.38,2019,22043000,8659000,1790698
04.51.01.38,2020,,9241000,9125611
04.51.01.38,2021,272000,2115000,-1240750
04.51.01.38,2022,0,2926000,509540
04.51.01.38,2023,0,0,0
04.51.01.38,2024,0,0,0
04.63.03.46,2025,0,0,0
04.63.03.46,2026,3581000,3581000,
05.01.01.16,2012,0,6900000,3653776
05.01.01.16,2013,0,0,0
05.01.01.16,2014,0,0,0
05.02.08.61,2009,0,150000,104763
05.02.08.61,2010,0,245000,29759
05.02.08.61,2011,0,216000,67254
05.02.08.61,2012,0,0,0
05.02.08.61,2013,0,0,0
07.80.02.72,2023,0,6700000,6594557
07.80.02.72,2024,6000000,5404000,5262293
07.80.02.72,2025,0,130000,163657
07.80.02.72,2026,0,0,
08.20.09.02,2003,7145000,6847000,5702516
08.20.09.02,2004,5271000,7205000,5663191
08.20.09.02,2005,4680000,7859000,6657746
08.20.09.02,2006,0,1159000,981918
08.20.09.02,2007,0,100000,48146
08.20.09.02,2008,0,32000,277
08.20.09.02,2009,0,0,-3654
08.20.09.02,2010,0,4000,-126
08.20.09.02,2011,0,7950000,0
08.20.09.02,2012,0,7950000,3422000
08.20.09.02,2013,0,0,0
08.20.09.02,2014,0,0,0
18.11.01.97,2016,0,2560000,0
18.11.01.97,2017,0,3547000,220247
18.11.01.97,2018,0,3060000,625083
18.11.01.97,2019,0,4416000,2230073
18.11.01.97,2020,,0,0
18.11.01.97,2021,0,0,0
26.01.01.09,2002,0,348000,350000
26.01.01.09,2003,2100000,8000,8000
26.01.01.09,2004,1868000,500000,500000
26.01.01.09,2005,1946000,0,0
26.01.01.09,2006,0,0,0
26.01.01.09,2007,0,0,0
26.01.01.10,2002,0,33000,33000
26.01.01.10,2003,130000,0,0
26.01.01.10,2004,115000,65000,0
26.01.01.10,2005,120000,0,0
26.01.01.10,2006,0,0,0
26.01.01.10,2007,0,0,0
26.01.01.11,2002,0,19000,19000
26.01.01.11,2003,90000,0,0
26.01.01.11,2004,438000,200000,100000
26.01.01.11,2005,456000,0,0
26.01.01.11,2006,0,0,0
26.01.01.11,2007,0,0,0
26.01.01.13,2003,0,1312000,75408
26.01.01.13,2004,0,1234000,686006
26.01.01.13,2005,0,8000,7500
26.01.01.13,2006,0,0,0
26.01.01.13,2007,0,0,0
26.01.01.26,2006,0,0,0
26.01.01.26,2007,0,0,0
26.01.01.26,2008,0,0,0
26.01.01.38,2000,0,100000,80116
26.01.01.38,2001,0,20000,0
26.01.01.38,2002,0,20000,0
26.01.01.38,2003,0,20000,0
26.01.01.38,2004,0,0,0
26.01.01.38,2005,0,0,0
26.01.01.40,1997,969000,1456000,508629
26.01.01.40,1998,861000,1210000,844804
26.01.01.40,1999,801000,1103000,740283
26.01.01.40,2000,777000,1105000,814599
26.01.01.40,2001,867000,1157000,909604
26.01.01.40,2002,866000,1025000,1069126
26.01.01.40,2003,970000,970000,917152
26.01.01.40,2004,1265000,1308000,974150
26.01.01.40,2005,1227000,1686000,1047205
26.01.01.40,2006,1227000,1835000,1119976
26.01.01.40,2007,1200000,1912000,1293457
26.01.01.40,2008,1235000,1835000,791527
26.01.01.40,2009,0,0,0
26.01.01.40,2010,0,0,0
26.01.01.90,2005,534000,510000,501217
26.01.01.90,2006,534000,507000,393774
26.01.01.90,2007,0,109000,79789
26.01.01.90,2008,0,18000,15223
26.01.01.90,2009,0,0,0
26.01.01.90,2010,0,0,0
26.03.01.01,1997,0,0,0
26.03.02.02,1997,0,0,0
26.03.03.01,2008,155000,955000,181000
26.03.03.01,2009,4450000,21736000,20401533
26.03.03.01,2010,2433000,13672000,10893147
26.03.03.01,2011,412000,3456000,3174116
26.03.03.01,2012,412000,4623000,434147
26.03.03.01,2013,0,0,0
26.03.03.01,2014,0,0,0
26.03.03.02,2008,0,212000,193210
26.03.03.02,2009,0,300000,302011
26.03.03.02,2010,0,3125000,2990205
26.03.03.02,2011,0,5635000,3005079
26.03.03.02,2012,0,5012000,2789498
26.03.03.02,2013,0,0,0
26.03.03.02,2014,0,0,0
26.03.03.03,2009,1996000,6041000,3882643
26.03.03.03,2010,1215000,3322000,4965290
26.03.03.03,2011,1442000,9600000,2396638
26.03.03.03,2012,427000,6847000,4586709
26.03.03.03,2013,0,0,0
26.03.03.03,2014,0,0,0
26.03.03.06,2009,273000,2417000,1958652
26.03.03.06,2010,728000,1187000,610000
26.03.03.06,2011,389000,1547000,1207773
26.03.03.06,2012,404000,1191000,1161561
26.03.03.06,2013,0,0,0
26.03.03.06,2014,0,0,0
26.03.03.07,1997,0,0,0
26.03.03.07,2009,167000,341000,21130
26.03.03.07,2010,831000,1151000,485870
26.03.03.07,2011,172000,1011000,735362
26.03.03.07,2012,172000,809000,730944
26.03.03.07,2013,0,0,0
26.03.03.07,2014,0,0,0
26.03.03.08,2009,3000000,0,0
26.03.03.08,2010,3000000,55000,55000
26.03.03.08,2011,0,0,0
26.03.03.08,2012,0,0,0
26.03.03.11,2009,1000000,10027000,9458366
26.03.03.11,2010,1400000,4282000,4150096
26.03.03.11,2011,2825000,0,0
26.03.03.11,2012,2825000,0,0
26.03.03.11,2013,0,0,0
26.03.03.11,2014,0,0,0
26.03.03.24,2009,0,5400000,7983842
26.03.03.24,2010,0,4212000,66158
26.03.03.24,2011,0,4146000,0
