code,title,office,program,economic_class_primary,item_url
04.01.19.31,שיפוץ מערכת חשמל,משרד ראש הממשלה,אמרכלות,קניות,https://next.obudget.org/i/5f9fe567880b
04.51.01.38,הוועדה לבחינת תחליפי נפט,משרד ראש הממשלה,מטה המשרד,קניות,https://next.obudget.org/i/fd612036b7e6
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,קניות,https://next.obudget.org/i/dd7ffb7099d3
05.01.01.16,העסקת יועצים במשק האנרגיה,משרד האוצר,משרד ראשי,קניות,https://next.obudget.org/i/ae4a82ece787
05.02.08.61,התייעלות אנרגטית,משרד האוצר,מנהל הדיור הממשלתי,קניות,https://next.obudget.org/i/12a73189b38f
07.80.02.72,קרן התייעלות,המשרד לביטחון לאומי,קניות,קניות,https://next.obudget.org/i/7e2b8305a537
08.20.09.02,שירותי ייעוץ להתייעלות בתי המשפט,משרד המשפטים,הוצאות כלליות,קניות,https://next.obudget.org/i/cded9af8659e
18.11.01.97,התייעלות אנרגטית ברשויות המקומיות,הרשויות המקומיות,העברות לרשויות,העברות,https://next.obudget.org/i/8efb8d598f83
26.01.01.09,"חודשי עבודה - חומ""ס בהתאם להחלטת הממשלה.",המשרד להגנת הסביבה,הנהלת המשרד,שכר,https://next.obudget.org/i/efa298857197
26.01.01.10,"שעות נוספות חומ""ס-בהתאם להחלטת הממשלה.",המשרד להגנת הסביבה,הנהלת המשרד,שכר,https://next.obudget.org/i/ff2175cf3159
26.01.01.11,"כונניות חומ""ס-בגין החלטת ממשלה.",המשרד להגנת הסביבה,הנהלת המשרד,שכר,https://next.obudget.org/i/9cf66c9768d7
26.01.01.13,ציוד חומרים מסוכנים,המשרד להגנת הסביבה,הנהלת המשרד,קניות,https://next.obudget.org/i/b065825ca9b9
26.01.01.26,פיצוי לנפגעי אסבסט,המשרד להגנת הסביבה,הנהלת המשרד,קניות,https://next.obudget.org/i/d688e06ef03c
26.01.01.38,רכישת רכב זיהום אויר,משרד איכות הסביבה,הנהלת המשרד,קניות,https://next.obudget.org/i/f5c7ffe48181
26.01.01.40,אכיפת חוקי איכות הסביבה רכישת שרותים ופעולות,המשרד להגנת הסביבה,הנהלת המשרד,קניות,https://next.obudget.org/i/cc299ae358b4
26.01.01.90,תפעול ואחזקת מערכת ניטור אוויר,המשרד להגנת הסביבה,הנהלת המשרד,קניות,https://next.obudget.org/i/26837f386f2c
26.03.01.01,"השתתפות בארגון האו""מ לאיכות הסביבה",משרד איכות הסביבה,"השתתפות בארגון האו""מ",קניות,https://next.obudget.org/i/86a04c667eb2
26.03.02.02,"הוצאות למחקר הים התיכון בשיתוף האו""מ",משרד איכות הסביבה,"העברות מאירגון האו""מ",העברות,https://next.obudget.org/i/15d0c94236b9
26.03.03.01,אשכול משאבי טבע - פעולות מקצועיות,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/01e209fd5930
26.03.03.02,אשכול משאבי טבע - הרשאה לפעולות מקצועיות,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/b47227bd1993
26.03.03.03,אשכול משאבי טבע - תמיכות,המשרד להגנת הסביבה,אשכול משאבי טבע,העברות,https://next.obudget.org/i/e4a69de0f0fb
26.03.03.06,רשות נחל ירקון,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/e1b842276439
26.03.03.07,רשות נחל קישון,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/adf0c53b9e9e
26.03.03.08,הפעלת היחידה לניטור ברשות הטבע והגנים,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/8da25ea91811
26.03.03.11,פרוייקטים עם משרד החקלאות ופיתוח הכפר,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/383b484c01c0
26.03.03.24,פרוייקט גאולת הירקון,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/5fd239078b13
26.03.03.30,פעולות לשיקום נחלים,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/5bf6f3b185e6
26.03.03.32,אשכול משאבי טבע תמיכות מזומן,המשרד להגנת הסביבה,אשכול משאבי טבע,העברות,https://next.obudget.org/i/f4e4b13e8750
26.03.03.35,חיבור מחנות צהל לביוב - השתתפות במשרד הבטחון,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/155dbbcb6d21
26.03.03.36,שיקום החי והצומח בכרמל,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/c5af25b65c29
26.03.03.40,אשכול משאבי טבע - פעולות,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/54042294c507
26.03.03.50,שיקום נחל הקישון על פי החלטת ממשלה 3454 מיום 10/07/2011,המשרד להגנת הסביבה,אשכול משאבי טבע,קניות,https://next.obudget.org/i/89ac9a1002af
26.03.04.01,מערכת ניטור אויר,המשרד להגנת הסביבה,פרוייקטים,קניות,https://next.obudget.org/i/731768cdddd5
26.03.04.02,ניטור מפרץ אילת,המשרד להגנת הסביבה,פרוייקטים,קניות,https://next.obudget.org/i/449731eacc23
26.03.04.03,ניטור ים התיכון,המשרד להגנת הסביבה,פרוייקטים,קניות,https://next.obudget.org/i/bc5a560e06bd
26.03.05.01,טיפול באגם הכנרת,המשרד להגנת הסביבה,תוכנית שיקום הצפון,קניות,https://next.obudget.org/i/6eec8509f813
26.03.05.02,חיסול מפגעי אסבסט,המשרד להגנת הסביבה,תוכנית שיקום הצפון,קניות,https://next.obudget.org/i/4660526a2bc3
26.03.05.03,שיקום נחלים,המשרד להגנת הסביבה,תוכנית שיקום הצפון,קניות,https://next.obudget.org/i/39f77c90dad0
26.03.09.01,פעולות אגף המים,משרד איכות הסביבה,מניעת זיהום מים,קניות,https://next.obudget.org/i/d670b2fa28bc
26.03.09.03,בדיקות מעבדה - קנית שרותים ופעולות,המשרד להגנת הסביבה,מניעת זיהום מים,קניות,https://next.obudget.org/i/d7e2101a2e73
26.03.09.10,"הפעלת היחידה לניטור רעלים - השתתפות ברש""ט",משרד איכות הסביבה,מניעת זיהום מים,קניות,https://next.obudget.org/i/803180f20eb6
26.03.09.11,שיקום נחלים - תמיכות באירגונים זהום מים זהום מים,משרד איכות הסביבה,מניעת זיהום מים,קניות,https://next.obudget.org/i/d862eed8e631
26.03.09.12,השתתפות בתקציב רשות נחל הירקון,המשרד להגנת הסביבה,מניעת זיהום מים,קניות,https://next.obudget.org/i/207ed6438545
