code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן קשר עקיף."
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן קשר עקיף."
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשורה לנושא."
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,שירות אזרחי אינו קשור לאנרגיה ירוקה.
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"נושא ספציפי, לא קשור לאנרגיה ירוקה."
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,הסברה לאומית אינה קשורה לאנרגיה ירוקה.
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,drop,תשתיות מורשת אינן קשורות לאנרגיה ירוקה.
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשורה לנושא."
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן קשר עקיף."
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,מערך הגיור אינו קשור לאנרגיה ירוקה.
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,ועדה בינמשרדית יכולה לעסוק בנושא.
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,מטה קיברנטי אינו קשור לאנרגיה ירוקה.
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,ארכיון המדינה אינו קשור לאנרגיה ירוקה.
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,הנצחה אינה קשורה לאנרגיה ירוקה.
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,אמרכלות ארכיון אינה קשורה לאנרגיה ירוקה.
04.01.43,מינהלת מפוני סיני,משרד ראש הממשלה,תחום פעולה כללי,drop,מינהלת מפוני סיני אינה קשורה לנושא.
04.01.61,מחקרים שונים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,מחקרים שונים יכולים לכלול אנרגיה ירוקה.
04.01.62,השתתפות האפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,אפוטרופוס כללי אינו קשור לאנרגיה ירוקה.
04.01.63,מפעלים חינוכיים,משרד ראש הממשלה,תחום פעולה כללי,drop,מפעלים חינוכיים אינם קשורים לאנרגיה ירוקה.
04.01.64,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,אפוטרופוס כללי אינו קשור לאנרגיה ירוקה.
04.01.70,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,אפוטרופוס כללי אינו קשור לאנרגיה ירוקה.
04.01.71,מרכז בגין,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז בגין אינו קשור לאנרגיה ירוקה.
04.01.72,מרכז רבין,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז רבין אינו קשור לאנרגיה ירוקה.
04.01.73,מרכז הסברה,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז הסברה אינו קשור לאנרגיה ירוקה.
04.01.74,יד לוי אשכול,משרד ראש הממשלה,תחום פעולה כללי,drop,יד לוי אשכול אינו קשור לאנרגיה ירוקה.
04.01.75,היכל הגבורה ים-עכו,משרד ראש הממשלה,תחום פעולה כללי,drop,היכל הגבורה אינו קשור לאנרגיה ירוקה.
04.01.76,חלקת גדולי האומה,משרד ראש הממשלה,תחום פעולה כללי,drop,חלקת גדולי האומה אינה קשורה לנושא.
04.01.77,אתר הנצחה גולני,משרד ראש הממשלה,תחום פעולה כללי,drop,אתר הנצחה אינו קשור לאנרגיה ירוקה.
04.01.78,הרשות למלחמה בסמים,משרד ראש הממשלה,תחום פעולה כללי,drop,מלחמה בסמים אינה קשורה לאנרגיה ירוקה.
04.01.79,"תכנית בש""ן",משרד ראש הממשלה,תחום פעולה כללי,drop,"תכנית ספציפית, לא קשורה לאנרגיה ירוקה."
04.01.80,מורשת משה שרת,משרד  ראש הממשלה,תחום פעולה כללי,drop,מורשת משה שרת אינה קשורה לנושא.
04.01.81,אפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,אפוטרופוס כללי אינו קשור לאנרגיה ירוקה.
04.01.82,מרכז תרבות עמים לנוער,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז תרבות אינו קשור לאנרגיה ירוקה.
04.01.83,מכון העם והמדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,מכון העם והמדינה אינו קשור לנושא.
04.01.84,מוזיאון בית השומר,משרד ראש הממשלה,תחום פעולה כללי,drop,מוזיאון אינו קשור לאנרגיה ירוקה.
04.01.85,נתיב - הוראת עברית,משרד ראש הממשלה,תחום פעולה כללי,drop,הוראת עברית אינה קשורה לאנרגיה ירוקה.
04.01.86,שמש לאחוה ודו-קיום,משרד ראש הממשלה,תחום פעולה כללי,drop,אחווה ודו-קיום אינם קשורים לאנרגיה ירוקה.
04.01.87,מעקב אחר אנטישמיות,משרד ראש הממשלה,תחום פעולה כללי,drop,מעקב אנטישמיות אינו קשור לאנרגיה ירוקה.
04.01.88,מרכז שזר,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז שזר אינו קשור לאנרגיה ירוקה.
04.01.89,בית מדרש ללימודי יהדות,משרד ראש הממשלה,תחום פעולה כללי,drop,לימודי יהדות אינם קשורים לאנרגיה ירוקה.
04.01.90,פעולות בעקבות המצב,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן קשר עקיף."
04.01.91,יד יצחק בן צבי,משרד ראש הממשלה,תחום פעולה כללי,drop,יד יצחק בן צבי אינו קשור לנושא.
04.01.92,משרד ראש הממשלה -,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת לא מלאה, ייתכן קשר עקיף."
04.01.93,יד טבנקין,משרד ראש הממשלה,תחום פעולה כללי,drop,יד טבנקין אינו קשור לאנרגיה ירוקה.
04.01.94,קרן מנחם בדר,משרד ראש הממשלה,תחום פעולה כללי,drop,"קרן ספציפית, לא קשורה לאנרגיה ירוקה."
04.01.95,מסדר לוחמי ירושלים,משרד ראש הממשלה,תחום פעולה כללי,drop,מסדר לוחמים אינו קשור לאנרגיה ירוקה.
04.01.96,אגודת דור הפלמח,משרד ראש הממשלה,תחום פעולה כללי,drop,אגודת דור הפלמח אינה קשורה לנושא.
04.01.97,רעות קרן עזרה,משרד ראש הממשלה,תחום פעולה כללי,drop,קרן עזרה אינה קשורה לאנרגיה ירוקה.
